"Who are you and what do you do","My name is Eva Giraud and i am a lecturer in Culture from the media. I started off comiung here to do a masters in Critical Theory and carried on to do a PhD in critical theory and that's still the area that i work in at the moment. Although i have moved into looking into more debates about media theory and stuff to do with cultural Studies as well."
"I have described my work in open scholarship and I'm hoping to get a bit of discussion from you to about how you use information and access information and the problems that arise when you do so or if there's no problem then great. Also if you create or publish, then a bit of feedback from that perspective would be good. So to start with could you describe in your daily work, what sorts of things you tend to do when you realise that you need to know something that you don't know. Where do you look for this, what do you do at that point?","Mine has varied quite a lot through out my PhD because i think originally i was very book orientated although i was focused on understanding key philosophies in the area where as now i focus more on journal articles and i think that more of my recent work, has been more sort of in depth understanding of particular theories and how they fit together and their contemporal relevance. I do go to a lot of journal articles and try to piece things together that way and that i suppose is where i have noticed more barriers in terms of access"
"So i imagine that you both look on-line for journals and stuff, is that common to both of you? Do you go to a library or where for you have access?","journal articles, definitely on-line I'd say. I mean there are two ways that i sort of deal with it. Obviously publishing is a bit of a game, so if there was a particular journal that i wanted to publish in,  i would go to that particular journal and look at past editions of that journal and look at look at other things that are in that particular book, because obviously there are other things that are in that Because obviously there is mapping. You know which other journals have more dialogue so you'd focus on reading round those areas i suppose."
"So you have journals that you are interested in that you go to. What has brought those ones to your attention in the first place?","That's what kind of the maps do in a way, because they do tend to use the main journals and actually it means that you can, it's a bit of a self fulfilling prophecy in a way, that these ones with the big names. They are not necessarily where the most interesting work is but they are just these points that you have to cite otherwise you are seen as somehow not fulfilling some level of academic quality. Google scholar.  I'm sure everyone does it. It's become such a kind of, I always feel really guilty because it's what you discourage undergraduates, i certainly discourage undergraduate students from just googgling stuff. It does throw up things that are more unexpected. If you are searching journal databases, it doesn't necessarily always come up so."
"So you're saying search internal databases and so what would be the alternative if you weren't looking at google?","Well obviously there are things like JACE, but i often set a list of publishers. Yes, you know, like Taylor & Francis They do have quite a lot of good journals in cultural studies and critical theory and also conveniently that university has copy write or has access to, where as i think there are quite a lot of other cultural specific journals that we don't have access to. Journals like cultural politics, or others with some really interesting things in that we don't have access to so it does push you out towards some big named ones. Big publishers that the university has a relationship with"
"OK, It seems clear then that you have both said that there are journals that you have access to, and you trust those journals to give you valid information but at the same time there are other journals that you don't have access to, but for some reason you have a desire to read them. Maybe you feel there is something in there that you should be reading?. So is there a difference in those journals, what is it that makes one of them seem as if it is something that you should reference compared to another journal where you might feel less inclined? Is there any quality that makes you think that one is better than the other?","I think a lot depends on, there are two things for me. Firstly the topic with that particular author or something that is well known in the field and it's something recent that's some out by them, then you don't have access to it then that's obviously quite frustrating and i think that's probably the point you'd send out a twitter message saying - has anyone got access to this? The other thing is sometimes i think that our areas are sometimes quite niche in some ways and so sometimes you really need to find some very specific information about something where there's not a lot written about it yet. I do a lot of stuff in the media, technologies for which i need very up to date information, a lot of people haven't written about it yet and because it's so niche there might only be one of two things that hae been written about that topic from the perspective i need and so obviously when that happens and the only article in some journal that you don't have access to, the that's very frustrating. and political reasons. So it's not just research for researches sake. It's research for making a political argument."
"If you don't have access to a particular article, because presumbably the community of your university haven't paid the fee or so on. It sounds like that doesn't mean that you think that it's not therefore valuable, you still do want access? How would you get access to it?","yes. I suppose i probably go and ask colleagues. That would be one of my first, because I've got a couple of them who always have pdf's about everything   and because we run a reading group i really noticed recently that I've been saying - I'll scan in this chapter and my colleague says oh I've got a pdf of that and he'll be my first port of call as he seems to have a lot of material like that. Then after that, i think I'd put up a message on a social networking site at work asking if they have access to it"
"The times that you do try and access these materials that you do think are important to your research - so you've tried to access it and you haven't been able to, do you feel that something has failed you in this process or do you feel that you have seen reasonable denials to your requests?","I feel frustrated i think, because the parameters change quite a lot and I'm deeply frustrated with the system because i know it's, obviously certain publishers have got monopolies on certain types of knowledge which i think from a critical theory perspective is very frustrating and that's why i think i wouldn't have qualms about trying to get access to other things. The other thing i might do actually is e-mail the author. So that if it's something that i really want to read, i have done that before, i have e-mailed somebody and they have e-mailed me recently to get something. So obviously it only works if you have some pre existing thing. But it is a nice thing to do as well i think, as people like it when you're interested in their things. I think for me, it's not the same as other forms of copy write - retaining creative control over a film, where the money is going into the film. Where as with the journal articles i don't get the sense, it's almost an anti-benefit to the author. The only reason they do it is because of the research excellence framework, you need a number. You need a certain number of things in journals, you need a certain number of things to get a job. It is very difficult to get a job as an early career researcher. So you are forced to do these things which seem to be oppositional to what you want to do. Also the boundaries are always shifting. You don't know. Every thing's got politics to it and you don't know, suddenly i can't access these journals does that mean that somewhere else someone looked to. You never know what's going on with the publisher relationships - has someone upped the rates and that's why we haven't got them or has money been going elsewhere, It's not very transparent."
"Do you feel left out of that? Or do you feel the information isn't available or do you think someone at the university is making the decisions for you or do you think it's something beyond that?","I guess it's a structural issue because for instance, we have a great library rep and we have lovely people in the information services so i don't think it's down to the individuals, i think it has to be structural problem really."
"OK, So do you think it's within the structure of your university or do you think it's imposed?","I think it's both ways"
